height,midparents_height
73.2,75.43
69.2,75.43
69.0,75.43
69.0,75.43
73.5,73.66
72.5,73.66
65.5,73.66
65.5,73.66
71.0,72.06
68.0,72.06
70.5,72.06
68.5,72.06
67.0,72.06
64.5,72.06
63.0,72.06
72.0,69.09
69.0,69.09
68.0,69.09
66.5,69.09
62.5,69.09
62.5,69.09
69.5,73.72
76.5,73.72
74.0,73.72
73.0,73.72
73.0,73.72
70.5,73.72
64.0,73.72
70.5,72.91
68.0,72.91
66.0,72.91
66.0,72.89
65.5,72.37
74.0,70.48
70.0,70.48
68.0,70.48
67.0,70.48
67.0,70.48
66.0,70.48
63.5,70.48
63.0,70.48
65.0,69.94
68.0,72.68
67.0,72.68
71.0,72.41
70.5,72.41
66.7,72.41
72.0,71.6
70.5,71.6
70.2,71.6
70.2,71.6
69.2,71.6
68.7,71.6
66.5,71.6
64.5,71.6
63.5,71.6
74.0,71.33000000000001
73.0,71.33000000000001
71.5,71.33000000000001
62.5,71.33000000000001
66.5,71.33000000000001
62.3,71.33000000000001
66.0,71.06
64.5,71.06
64.0,71.06
62.7,70.62
73.2,73.61000000000001
73.0,73.61000000000001
72.7,73.61000000000001
70.0,73.61000000000001
69.0,73.61000000000001
68.5,73.61000000000001
68.0,73.61000000000001
66.0,73.61000000000001
73.0,72.72
68.5,72.72
68.0,72.72
73.0,72.18
71.0,72.18
67.0,72.18
74.2,71.1
70.5,71.1
69.5,71.1
66.0,71.1
65.5,71.1
65.0,71.1
65.0,71.1
65.5,71.37
66.0,70.56
63.0,70.56
70.5,70.02000000000001
70.5,70.02000000000001
69.0,70.02000000000001
65.0,70.02000000000001
63.0,70.02000000000001
69.0,70.02000000000001
67.0,70.02000000000001
63.0,70.02000000000001
73.0,70.02000000000001
67.0,70.02000000000001
70.5,70.02000000000001
70.0,70.02000000000001
66.5,70.02000000000001
63.0,70.02000000000001
67.5,70.53999999999999
67.2,70.53999999999999
66.7,70.53999999999999
64.0,69.48
71.0,69.73
70.0,69.73
70.0,69.73
66.0,69.73
65.0,69.73
65.0,69.73
74.0,69.48
72.0,69.48
69.0,69.48
67.5,69.48
63.5,69.48
72.0,69.48
71.5,69.48
71.5,69.48
70.0,69.48
68.0,69.48
65.7,68.94
78.0,72.76
74.0,72.76
73.0,72.76
72.0,72.76
67.0,72.76
73.2,71.68
73.0,71.68
69.0,71.68
67.0,71.68
70.0,71.14
67.0,71.14
67.0,71.14
66.5,71.14
70.0,71.14
69.0,71.14
68.5,71.14
66.0,71.14
64.5,71.14
63.0,71.14
71.0,71.14
67.0,71.14
76.0,71.14
72.0,71.14
71.0,71.14
66.0,71.14
66.0,71.14
70.5,71.22
72.0,70.87
72.0,70.87
71.0,70.87
69.0,70.87
66.0,70.87
65.0,70.87
73.0,71.12
65.2,71.12
68.5,70.85
67.7,70.85
68.0,70.6
68.0,70.6
62.0,70.6
68.0,70.06
68.0,70.06
67.5,70.06
66.5,70.06
66.5,70.06
66.0,70.06
65.5,70.06
65.0,70.06
72.0,70.68
71.0,70.68
70.5,70.68
67.0,70.68
68.0,70.06
68.0,70.06
68.0,70.06
72.0,70.58000000000001
71.0,70.58000000000001
70.0,70.58000000000001
66.0,70.58000000000001
64.5,70.58000000000001
64.5,70.58000000000001
62.0,70.58000000000001
67.5,69.62
64.5,69.62
71.0,69.78999999999999
67.0,69.78999999999999
66.0,69.78999999999999
65.0,69.78999999999999
63.5,69.78999999999999
71.0,69.52000000000001
70.0,69.52000000000001
70.0,69.52000000000001
64.0,69.52000000000001
65.0,69.52000000000001
65.0,69.52000000000001
64.0,69.52000000000001
63.0,69.52000000000001
63.0,69.52000000000001
71.0,69.52000000000001
71.0,69.52000000000001
70.0,69.52000000000001
63.5,69.52000000000001
71.0,68.98
70.0,68.98
64.5,68.98
62.5,68.98
61.5,68.98
72.0,68.98
70.5,68.98
70.5,68.98
64.5,68.98
60.0,68.98
70.0,69.25
64.0,69.25
64.0,69.25
64.0,69.25
62.5,69.25
70.5,68.98
70.0,68.98
69.0,68.98
69.0,68.98
66.0,68.98
64.5,68.98
64.0,68.98
62.0,68.44
71.5,66.82
69.0,66.82
71.0,72.26
70.0,72.26
69.0,72.26
69.0,72.26
70.0,72.26
68.7,72.26
68.0,72.26
66.0,72.26
64.0,72.26
62.0,72.26
75.0,71.72
70.0,71.18
69.0,71.18
66.0,71.18
64.0,71.18
60.0,71.18
67.5,71.18
73.0,70.91
72.0,70.91
72.0,70.91
66.5,70.91
69.2,70.91
67.2,70.91
66.5,70.91
66.0,70.91
66.0,70.91
64.2,70.91
63.7,70.91
72.0,70.35
70.2,70.35
69.0,70.35
68.5,70.35
68.0,70.35
65.0,70.35
61.5,70.35
61.0,70.35
61.0,70.35
73.0,70.1
72.0,70.1
70.5,70.1
65.0,70.1
65.0,70.1
64.5,70.1
63.0,70.1
62.0,70.1
67.0,70.1
65.0,70.1
64.5,70.1
62.5,70.1
62.5,70.1
70.0,70.1
70.0,70.1
67.0,70.1
65.0,70.1
65.0,70.1
63.0,70.1
79.0,70.1
75.0,70.1
71.0,70.1
69.0,70.1
67.0,70.1
65.7,70.1
62.0,70.1
73.0,70.1
72.5,70.1
65.0,70.1
69.0,70.1
69.0,70.1
72.0,69.938
70.0,69.938
68.7,69.938
66.5,69.938
65.5,69.938
64.7,69.938
64.5,69.938
70.7,69.56
70.0,69.56
68.0,69.56
67.0,69.56
66.0,69.56
65.0,69.56
67.0,69.56
70.0,69.56
68.0,69.56
66.7,69.56
65.5,69.56
72.0,69.668
70.0,69.668
62.5,69.668
