Country,Year,HALE,CO₂ pc,Happy Score,GNI pc PPP$
Afghanistan,2010,51.13,0.2967329,4.75838089,1770
Afghanistan,2015,52.6,0.29007638,3.982854605,2150
Afghanistan,2019,53.95,0.29340136,3.203299999,2200
Albania,2010,67.57,1.6420202,5.268936634,9530
Albania,2015,69.03,1.6347499,4.606650829,11800
Albania,2019,69.08,1.7215332,4.718599796,14220
Algeria,2010,65.53,3.2856946,5.46356678,13100
Algeria,2019,66.39,4.2033315,5.211299896,11820
Argentina,2010,66.3,4.5433717,6.441067219,17450
Argentina,2015,66.86,4.4326596,6.69713068,19730
Argentina,2019,67.13,3.9894862,6.086299896,22100
Armenia,2010,64.84,1.4434226,4.367811203,7690
Armenia,2015,66.0,1.8999954,4.34831953,10540
Armenia,2019,67.12,2.2279305,4.559400082,15120
Australia,2010,70.17,18.39776,7.450047016,37840
Australia,2015,70.56,16.867716,7.309060574,45310
Australia,2019,70.93,16.419682,7.228000164,50180
Austria,2010,69.92,8.610293,7.302678585,42360
Austria,2015,70.39,7.67711,7.07644701,49370
Austria,2019,70.94,7.6505237,7.245999813,59530
Azerbaijan,2010,61.71,3.3162515,4.218610764,13800
Azerbaijan,2015,63.09,3.516297,5.146774769,14460
Bahrain,2010,65.04,23.95692,5.936869144,43510
Bahrain,2015,66.24,23.829594,6.00737524,43330
Bahrain,2019,65.88,25.30706,6.199399948,48850
Bangladesh,2010,61.22,0.36384624,4.858481407,3100
Bangladesh,2015,63.76,0.4635212,4.633473873,4450
Bangladesh,2019,64.3,0.553767,4.455800057,5930
Belarus,2010,62.26,6.416852,5.525923252,15050
Belarus,2015,65.06,6.0613627,5.718907833,17330
Belgium,2010,69.21,10.531201,6.853514194,40450
Belgium,2015,69.99,8.984617,6.904219151,46850
Belgium,2019,70.56,8.638375,6.922999859,56340
Benin,2015,54.29,0.48742136,3.624664307,2770
Benin,2019,55.52,0.58126897,4.883200169,3260
Bhutan,2015,62.6,1.298345,5.082128525,8640
Bolivia,2010,61.72,1.5160887,5.780620098,4850
Bolivia,2015,62.73,1.9154216,5.834329128,6750
Bolivia,2019,63.27,1.973223,5.779300213,8710
Bosnia and Herzegovina,2010,66.98,5.548462,4.66851759,9240
Bosnia and Herzegovina,2015,66.97,5.2380176,5.117177963,11910
Bosnia and Herzegovina,2019,67.19,6.1922417,5.386499882,16090
