country,year,region,population,life_expectancy,age5_surviving,babies_per_woman,gdp_per_capita,gdp_per_day
Afghanistan,1990,Asia,12067570.0,49.5,81.89999999999999,7.69,1028.0,2.8145106091718
Afghanistan,1991,Asia,12789374.0,49.3,82.58,7.7,1022.0,2.798083504449008
Afghanistan,1992,Asia,13745630.0,49.4,83.22,7.73,941.0,2.5763175906913074
Afghanistan,1993,Asia,14824371.0,49.5,83.8,7.76,810.0,2.217659137577002
Afghanistan,1994,Asia,15869967.0,48.9,84.32,7.8,725.0,1.9849418206707732
Afghanistan,1995,Asia,16772522.0,49.4,84.77,7.83,872.0,2.3874058863791925
Afghanistan,1996,Asia,17481800.0,49.7,85.14,7.86,895.0,2.4503764544832305
Afghanistan,1997,Asia,18034130.0,49.5,85.45,7.87,921.0,2.521560574948665
Afghanistan,1998,Asia,18511480.0,48.6,85.74,7.85,947.0,2.5927446954141
Afghanistan,1999,Asia,19038420.0,50.0,86.00999999999999,7.81,972.0,2.6611909650924024
Afghanistan,2000,Asia,19701940.0,50.1,86.3,7.73,962.0,2.6338124572210813
Afghanistan,2001,Asia,20531160.0,50.4,86.61999999999999,7.62,862.0,2.360027378507872
Afghanistan,2002,Asia,21487079.0,51.0,86.97,7.48,1053.0,2.8829568788501025
Afghanistan,2003,Asia,22507368.0,51.4,87.32,7.32,1097.0,3.0034223134839158
Afghanistan,2004,Asia,23499850.0,51.8,87.68,7.14,1067.0,2.921286789869952
Afghanistan,2005,Asia,24399948.0,52.0,88.03999999999999,6.93,1146.0,3.137577002053388
Afghanistan,2006,Asia,25183615.0,52.1,88.37,6.7,1173.0,3.2114989733059547
Afghanistan,2007,Asia,25877544.0,52.4,88.68,6.46,1298.0,3.553730321697468
Afghanistan,2008,Asia,26528741.0,52.8,88.96,6.2,1311.0,3.589322381930185
Afghanistan,2009,Asia,27207291.0,53.3,89.24,5.93,1548.0,4.238193018480493
Afghanistan,2010,Asia,27962207.0,53.6,89.5,5.66,1637.0,4.48186173853525
Afghanistan,2011,Asia,28809167.0,54.0,89.77,5.4,1695.0,4.640657084188912
Afghanistan,2012,Asia,29726803.0,54.4,90.05,5.14,1893.0,5.182751540041068
Afghanistan,2013,Asia,30682500.0,54.8,90.33,4.9,1884.0,5.158110882956879
Afghanistan,2014,Asia,31627506.0,54.9,90.61,4.68,1877.0,5.138945927446954
Afghanistan,2015,Asia,32526562.0,53.8,90.89,4.47,1925.0,5.270362765229295
Germany,1990,Europe,78958237.0,75.4,99.15,1.36,31476.0,86.17659137577002
Germany,1991,Europe,79483739.0,75.6,99.2,1.34,32844.0,89.92197125256673
Germany,1992,Europe,80075940.0,76.0,99.24,1.32,33221.0,90.95414099931554
Germany,1993,Europe,80675999.0,76.1,99.28,1.31,32689.0,89.49760438056126
Germany,1994,Europe,81206786.0,76.4,99.32,1.31,33375.0,91.37577002053388
Germany,1995,Europe,81612900.0,76.6,99.35,1.31,33843.0,92.65708418891172
Germany,1996,Europe,81870772.0,76.9,99.38,1.32,34008.0,93.10882956878852
Germany,1997,Europe,81993831.0,77.3,99.41,1.33,34578.0,94.6694045174538
Germany,1998,Europe,82010184.0,77.6,99.43,1.34,35254.0,96.5201916495551
Germany,1999,Europe,81965830.0,77.8,99.45,1.35,35931.0,98.37371663244352
Germany,2000,Europe,81895925.0,78.1,99.46,1.35,36953.0,101.17180013689254
Germany,2001,Europe,81809438.0,78.4,99.48,1.35,37517.0,102.71594798083504
Germany,2002,Europe,81699829.0,78.6,99.49,1.35,37458.0,102.55441478439424
Germany,2003,Europe,81569481.0,78.8,99.5,1.35,37167.0,101.7577002053388
Germany,2004,Europe,81417791.0,79.2,99.51,1.35,37614.0,102.98151950718686
Germany,2005,Europe,81246801.0,79.4,99.53,1.35,37901.0,103.76728268309375
Germany,2006,Europe,81055904.0,79.7,99.54,1.36,39352.0,107.73990417522243
Germany,2007,Europe,80854515.0,79.9,99.55,1.36,40693.0,111.4113620807666
Germany,2008,Europe,80665906.0,80.0,99.56,1.37,41199.0,112.79671457905545
Germany,2009,Europe,80519685.0,80.1,99.57,1.38,38975.0,106.70773442847364
Germany,2010,Europe,80435307.0,80.3,99.58,1.39,40632.0,111.24435318275154
Germany,2011,Europe,80424665.0,80.5,99.59,1.4,42080.0,115.20876112251882
Germany,2012,Europe,80477952.0,80.6,99.6,1.41,42959.0,117.61533196440794
Germany,2013,Europe,80565861.0,80.7,99.61,1.42,42887.0,117.41820670773444
Germany,2014,Europe,80646262.0,80.7,99.62,1.43,43444.0,118.943189596167
